Catégorie,Type,Sous-catégorie,Éléments
Maison & Jardin,Produits,Bricolage,"Perceuse, visseuse, marteau, tournevis, scie, escabeau, coffret à outils, perceuse à percussion, scie sauteuse, tournevis électrique, visserie, ponceuse, clé à molette, perceuse sans fil"
Maison & Jardin,Produits,Travaux & rénovation,"Peinture, rouleau, pinceau, escabeau, carrelage, outillage électrique, matériel de carrelage, bétonnière, pince coupante, rouleau à peindre, perceuse murale, niveau laser"
Maison & Jardin,Produits,Jardinage & motoculture,"Tondeuse, taille-haie, tronçonneuse, débroussailleuse, souffleur, broyeur, taille-bordures, coupe-bordures, scarificateur, pulvérisateur, tuyau d’arrosage, arrosoir, semoir"
Maison & Jardin,Produits,Entretien,"Aspirateur, nettoyeur vapeur, nettoyeur haute pression, serpillère, balai, produits d’entretien, balai vapeur, chiffon microfibre, aspirateur sans sac, produit désinfectant, détartrant, nettoyant vitres"
Maison & Jardin,Produits,Ameublement,"Table, chaise, étagère, luminaire, canapé, déco, cadre, buffet, commode, table basse, tapis, rideaux, miroir mural, suspension, table d’appoint"
Maison & Jardin,Services,Bricolage,"Montage de meubles, réparation, pose d’étagère, petit bricolage, perceuse à percussion, scie sauteuse, tournevis électrique, visserie, ponceuse, clé à molette, perceuse sans fil"
Maison & Jardin,Services,Entretien,"Nettoyage, jardinage, tonte, lavage haute pression, peinture, déménagement, balai vapeur, chiffon microfibre, aspirateur sans sac, produit désinfectant, détartrant, nettoyant vitres"
Véhicules & Mobilité,Produits,Auto & moto,"Voiture, moto, scooter, accessoires auto, GPS, pneus, outils d’entretien, casque, chargeur de batterie, cric, coffret à douilles, polisseuse, huile moteur, kit de nettoyage auto"
Véhicules & Mobilité,Produits,Transport & déménagement,"Camion, remorque, diable, sangles, couvertures de déménagement, chariot, sangles d’arrimage, cartons, diable pliant, couverture de protection, valise rigide"
Véhicules & Mobilité,Services,Auto & moto,"Lavage auto, entretien, réparation, covoiturage, transport de marchandises, casque, chargeur de batterie, cric, coffret à douilles, polisseuse, huile moteur, kit de nettoyage auto"
Véhicules & Mobilité,Services,Transport & déménagement,"Aide au déménagement, location utilitaire, transport d’objets, chariot, sangles d’arrimage, cartons, diable pliant, couverture de protection, valise rigide"
Électroménager & Multimédia,Produits,Gros électroménager,"Lave-linge, frigo, four, congélateur, sèche-linge, hotte aspirante, plaque de cuisson, cave à vin, sèche-linge, lave-vaisselle, congélateur coffre"
Électroménager & Multimédia,Produits,Petit électroménager,"Aspirateur, robot de cuisine, micro-ondes, bouilloire, cafetière, grille-pain, friteuse, robot pâtissier, presse-agrumes, plancha électrique, mixeur plongeant"
Électroménager & Multimédia,Produits,Informatique & téléphonie,"PC, tablette, imprimante, smartphone, accessoires, écran PC, souris, clavier, disque dur externe, casque audio, webcam, chargeur universel"
Électroménager & Multimédia,Services,Réparation & maintenance,"Dépannage informatique, réparation smartphone, installation TV, dépannage TV, entretien électroménager, réparation vélo, ajustement couture, maintenance PC, soudure"
Services à la personne,Services,Aide à domicile,"Ménage, repassage, garde d’enfants, jardinage, petits travaux, aide aux personnes âgées, nettoyage vitres, entretien du linge, cuisine à domicile, désencombrement"
Services à la personne,Services,Cours & formation,"Soutien scolaire, cours de musique, sport, langues, formation pro, cours de guitare, coaching sportif, soutien en mathématiques, apprentissage de langues, préparation examens"
Services à la personne,Services,Beauté & bien-être,"Coiffure, maquillage, massage, soins esthétiques, manucure, pédicure, soins visage, relooking, coloration, massage relaxant, maquillage événementiel"
Services à la personne,Services,Garde d’animaux,"Promenade, pension, soins, garde à domicile"
Événementiel & Loisirs,Produits,Matériel de fête,"Barnum, sono, vaisselle, décoration, tables pliantes, projecteur lumineux, guirlandes, machine à bulles, machine à pop-corn, estrade, tables pliantes, nappes"
Événementiel & Loisirs,Produits,Sport & plein air,"Raquettes, kayak, paddle, camping, drone, tente, tente de randonnée, équipement de plongée, VTT, planche de surf, ballon de football, sac de couchage"
Événementiel & Loisirs,Services,Organisation,"Traiteur, DJ, photographe, animation d’événements"
Événementiel & Loisirs,Services,Location matériel,"Location de sono, barnum, vaisselle, mobilier d’événement"
Mode & Accessoires,Produits,Vêtements,"Vêtements homme, femme, enfant, manteaux, jeans, t-shirts, chemise, robe, costume, pulls, manteaux, vêtements de sport, doudoune, casquette, bonnet"
Mode & Accessoires,Produits,Chaussures & sacs,"Chaussures, sacs à main, sac à dos, ceintures, bottes, baskets, sandales, escarpins, mocassins, tongs, chaussures de sécurité"
Mode & Accessoires,Produits,Bijoux & montres,"Montres, colliers, bracelets, bagues"
Mode & Accessoires,Services,Retouche & couture,"Réparation vêtements, création sur mesure, broderie"
Enfants & Puériculture,Produits,Jouets & jeux,"Jeux de société, jouets éducatifs, puzzles, peluches, jeux électroniques, cubes d’éveil, poupées, circuits de voiture, jeux de construction, puzzles 3D"
Enfants & Puériculture,Produits,Matériel de puériculture,"Poussette, lit bébé, siège auto, table à langer, chauffe-biberon, transat, parc bébé, babyphone, chaise haute, barrière de sécurité"
Enfants & Puériculture,Services,Garde & aide familiale,"Baby-sitting, aide aux devoirs, animation enfantine"
Animaux,Produits,Accessoires,"Laisse, cage, panier, niche, brosse, gamelle, collier, harnais, griffoir, bac à litière, tapis rafraîchissant, distributeur automatique de croquettes"
Animaux,Produits,Nourriture,"Croquettes, pâtée, friandises, compléments"
Animaux,Services,Garde & promenade,"Promenade, pension, toilettage, garde à domicile"
Immobilier & Hébergement,Produits,Location courte durée,"Appartement, maison, chambre, gîte, maison de campagne, studio meublé, tiny house, cabane, logement insolite, résidence secondaire"
Immobilier & Hébergement,Produits,Partage d’espace,"Garage, parking, bureau, atelier"
Immobilier & Hébergement,Services,Hébergement,"Location saisonnière, accueil voyageurs, entretien logement"
Artisanat & Services professionnels,Produits,Création artisanale,"Bijoux faits main, céramique, bois, couture, poterie, sculpture bois, peinture artisanale, couture main, accessoires déco, bougies naturelles"
Artisanat & Services professionnels,Services,Réparation,"Réparation vélo, électroménager, informatique, dépannage TV, entretien électroménager, réparation vélo, ajustement couture, maintenance PC, soudure"
Artisanat & Services professionnels,Services,Services techniques,"Photographe, graphiste, développeur, rédacteur"
